Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[7, 10]",Universities Away,Public Indoor Gathering Person Limit - 10,-0.29749,0.01451,True
"[12, 18]",Extra Public Indoor Household Limit,Mandatory Mask Wearing >= 3,0.04318,0.01883,True
"[14, 16]",Private Indoor Gathering Person Limit - 2,Private Indoor Gathering Person Limit - 30,-0.04863,0.04092,True
"[15, 17]",Private Indoor Gathering Person Limit - 10,Extra Private Indoor Household Limit,-0.03848,0.03673,True
"[3, 7]",Retail Closed,Universities Away,-0.18909,0.01642,True
"[1, 9]",Gastronomy Closed,Public Indoor Gathering Person Limit - 2,0.05288,0.0156,True
"[6, 4]",Secondary Schools Closed,Curfew,0.24707,0.02085,True
"[10, 0]",Public Indoor Gathering Person Limit - 10,Night Clubs Closed,0.00825,0.019,False
"[5, 8]",Primary Schools Closed,Public Indoor Gathering Person Limit - 1,-0.33178,0.03102,True
"[13, 18]",Private Indoor Gathering Person Limit - 1,Mandatory Mask Wearing >= 3,0.10195,0.01817,True
"[14, 17]",Private Indoor Gathering Person Limit - 2,Extra Private Indoor Household Limit,-0.0316,0.03533,False
"[15, 16]",Private Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 30,0.07965,0.05321,True
"[4, 2]",Curfew,Leisure Venues Closed,0.15921,0.04147,True
"[9, 12]",Public Indoor Gathering Person Limit - 2,Extra Public Indoor Household Limit,0.09174,0.0638,True
"[7, 11]",Universities Away,Public Indoor Gathering Person Limit - 30,-0.24464,0.01129,True
"[5, 1]",Primary Schools Closed,Gastronomy Closed,-0.02977,0.01402,True
"[10, 3]",Public Indoor Gathering Person Limit - 10,Retail Closed,0.05896,0.04209,True
"[16, 17]",Private Indoor Gathering Person Limit - 30,Extra Private Indoor Household Limit,0.04047,0.038,True
"[1, 11]",Gastronomy Closed,Public Indoor Gathering Person Limit - 30,0.03247,0.03242,True
"[4, 7]",Curfew,Universities Away,-0.05198,0.05203,False
"[5, 15]",Primary Schools Closed,Private Indoor Gathering Person Limit - 10,-0.00224,0.01177,False
"[0, 2]",Night Clubs Closed,Leisure Venues Closed,0.0682,0.0506,True
"[12, 10]",Extra Public Indoor Household Limit,Public Indoor Gathering Person Limit - 10,-0.085,0.05731,True
"[3, 8]",Retail Closed,Public Indoor Gathering Person Limit - 1,0.13174,0.01889,True
"[13, 6]",Private Indoor Gathering Person Limit - 1,Secondary Schools Closed,0.02793,0.01771,True
"[16, 18]",Private Indoor Gathering Person Limit - 30,Mandatory Mask Wearing >= 3,0.1303,0.02467,True
